{27595,  55.75,   49.15,  119, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27612,  55.93,   37.52,  187, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27707,  54.10,   35.35,  238, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27730,  54.62,   39.72,  155, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27962,  53.13,   45.02,  172, 4,10, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27995,  52.98,   49.43,   45, 4,10, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28225,  58.02,   56.30,  170, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28275,  58.15,   68.25,   50, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28445,  56.73,   60.07,  287, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28661,  55.47,   65.40,   72, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28698,  54.93,   73.40,   91, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28722,  54.75,   56.00,  104, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{28951,  53.23,   63.62,  171, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29231,  58.30,   82.90,   76, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29263,  58.45,   92.17,   79, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29282,  58.42,   97.40,  130, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29572,  56.18,   92.62,  206, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29612,  55.33,   78.37,  120, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29634,  55.03,   82.90,  143, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29698,  54.88,   99.03,  411, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29839,  53.33,   83.70,  160, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{29862,  53.77,   91.32,  254, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30054,  59.45,  112.58,  190, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30230,  57.77,  108.07,  259, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30309,  56.07,  101.83,  416, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30372,  56.92,  118.37,  711, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30554,  54.47,  113.58,  995, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30635,  53.42,  109.02,  460, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30673,  53.73,  119.78,  625, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30715,  52.48,  103.85,  450, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30758,  52.08,  113.48,  671, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30935,  50.37,  108.75,  770, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{30965,  50.40,  116.52,  676, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{31004,  58.62,  125.37,  691, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{31088,  59.37,  143.20,    6, 5, 8, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{31168,  56.45,  138.15,    7, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{31300,  53.75,  127.23,  228, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{31369,  53.13,  140.70,   46, 5, 8, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
